original_filename,repository_relative_to_design_doc,role,status,width,height,bytes,sha256,alpha_extrema,usage_notes,verified_2026_09_24,decision
pc light.png,reference/01-pc-light.png,pc-layout-light,primary-reference,1672,941,2576911,07135d0aa6bd363b4d8f4545ce064a830b1daddb796c9c33b525faf1e0a9dfe5,"(255, 255)",화이트 PC 화면의 시각적 기준; 기능/숫자/필드는 코드로 검증,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",PC 시각 정본(화이트). 1차 시범 비교 대상
pc dark.png,reference/02-pc-dark.png,pc-layout-dark,primary-reference,1672,941,2904497,e0c928f9bbe007fe2f2cb2d2bfcf3d43e91e88cddd4bcf0d2bb0bcbd861ba6ff,"(255, 255)",네이비 블루 PC 시각적 기준; 실제 차트 값·랭킹으로 사용하지 않음,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",PC 시각 정본(다크). 1차 시범 비교 대상
guide(1).png,reference/03-statistics-guide.png,statistics-guide,secondary-reference,1448,1086,2511745,1094fef901ac79f9ae78ffa53a65e53779b8f75072901155ccb022c0f1cf770d,"(255, 255)",차트 제안; 중복차량·Sunwi·개인 통계의 분류/합계를 검증,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
board(1).png,reference/04-ui-states.png,states-board,secondary-reference,1448,1086,2366911,f2a160cbe6a941c227deae4426bffe319dbf7fa1e31c59ee2397c4c79033ad57,"(255, 255)",empty/loading/error 표현; 없는 일반 업로드 버튼 구현 금지,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
design tokens(1).png,reference/05-design-tokens.png,tokens-board,secondary-reference,1448,1086,2240797,24c954ed6ce56bd08a1bbf23bb7a75c28e27210ec9e2ca4bf05fd641eabf6f95,"(255, 255)",색상/글꼴 계층 참고; PC 시안과 충돌하면 정본을 먼저 확정,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
UI COMPONENT KIT(1).png,reference/06-component-kit.png,component-board,secondary-reference,1448,1086,2519137,9659b96f138db449f0e4632cc2b86589aaa5f16b1a79b8c75b0acd52c056de91,"(255, 255)",PC table/modal 적용; mobile bottom navigation은 이식하지 않음,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
badge(1).png,reference/07-status-badges.png,badge-board,code-reimplement,1448,1086,1641683,9d80f86b1ec8dcf1847b97af1f6e99ea84f1ba035eb1e15027cd28c81bec5af4,"(0, 255)",상태 배지는 CSS+실텍스트; semantic 상태 코드를 바꾸지 않음,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
dark banner(1).png,reference/08-banner-dark.png,illustration-dark,optional-needs-adaptation,1672,941,2936628,c3d63fbb3e51c3243a93e61ff04eb849264d3c326e4e95720d98de6826876207,"(255, 255)",가로 배너; 텍스트 결합; 표 화면 대형 히어로로 강제하지 않음,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
white banner(1).png,reference/09-banner-light.png,illustration-light,optional-needs-adaptation,1672,941,2512516,28b8aa034cf4b33cc0e4ee05075f23c0d703f9f15b679b4ed52a2804eefe5f21,"(255, 255)",가로 배너; 반응형 크롭/텍스트 레이어 정리 필요,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
data분석일러스트(1).png,reference/10-analytics-illustration.png,analytics-illustration,optional-asset,1254,1254,954694,60f868e42aef18167ee4ed61707c2d5077d685727490d9449f669dd5be708e3f,"(0, 255)",보조 일러스트; 실제 차트/보고 데이터가 아님,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
sync(1).png,reference/11-sync-illustration.png,sync-illustration,optional-asset,1254,1254,1022913,5a6540921cb7478d4790a0cd117d6ffd635aaefef529b9f958983ef051e30cdc,"(0, 255)",보조 일러스트; 실제 진행률은 DOM/CSS/데이터로 구현,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
icons(1).png,reference/12-icon-sheet.png,icon-sheet,needs-separation-or-vector,1448,1086,502032,abdedb695786bd1a515e8b7cfa31c2202ebef21324293dd5277d5ebe4de4c4e9,"(0, 255)",한장짜리 시트; 실제 개별 SVG/기존 일관 아이콘으로 재구성,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",참고 전용
LOGO(1).png,reference/13-logo-lockups.png,brand-lockup-sheet,needs-selection-and-extraction,1536,1024,744222,fbeae6f6fad54b725d49470b4e3ba2f53ca821c7d60a408f973652cf22ecb13c,"(0, 254)",카메라 vs 방패 로고 충돌 해결; 합본에서 선택/분리,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",채택(2026-09-24 사용자 정정): 위=라이트용, 아래=다크용 로고. web/static/brand/logo-lockup-{light,dark}.png 880px, 사이드바·로그인·설정에서 테마로 전환. 투명도 정상(이전 '번짐' 판단은 검은 배경에서 본 착오)
favicon(1).png,reference/14-app-icon-source.png,app-icon-source,needs-export-and-small-size-check,1254,1254,1587467,f4db53964d72e837b2d556f385eec55153a04f3a359fff48f81c9cacceb5ae2c,"(0, 255)",정사각 원본; 실제 favicon.ico/PNG 크기 및 작은 식별성 검증,"sha256/bytes/size 일치(로컬 사본, Git 미추적)",채택(2026-09-24): 파비콘·앱 아이콘 전용. 투명 여백 잘라 favicon.ico 16~256, apple-touch-icon.png 180px, web/static/logo.png 512px(현재 화면 미사용), 서버 실행 파일 아이콘 mysafetyreport.ico(16~256)·mysafetyreport.icns(1024) 생성. 모바일 앱 아이콘은 모바일 레포에서 처리
